timestamp,open,high,low,close,volume
2022-10-25,6.8300,7.0450,6.8100,7.0100,12368832
2022-10-24,6.8400,6.9100,6.8000,6.8200,9589211
2022-10-21,6.4400,6.6800,6.4110,6.6600,11073928
2022-10-20,6.6300,6.7400,6.5200,6.5700,9218572
2022-10-19,6.6000,6.6400,6.4850,6.5500,8265047
2022-10-18,6.8200,6.8450,6.7100,6.7700,11479294
2022-10-17,6.7200,6.7750,6.6600,6.6600,10242514
2022-10-14,6.6100,6.6697,6.4200,6.4300,15220187
2022-10-13,6.2900,6.6400,6.2150,6.5600,18177358
2022-10-12,5.9100,6.1150,5.8850,6.0500,14351957
2022-10-11,6.2800,6.3300,6.1030,6.1200,15950409
2022-10-10,6.4600,6.4900,6.3100,6.3500,12669090
2022-10-07,6.4900,6.5100,6.4000,6.4300,9565408
2022-10-06,6.6100,6.6398,6.4950,6.5200,8872665
2022-10-05,6.7400,6.8199,6.6700,6.7800,9704748
2022-10-04,6.8600,7.0200,6.8400,6.9600,10406343
2022-10-03,6.5700,6.6800,6.4850,6.6100,10682241
2022-09-30,6.3900,6.5200,6.3600,6.4000,11188875
2022-09-29,6.3900,6.4900,6.3151,6.4800,16090270
2022-09-28,6.3800,6.6800,6.3600,6.6600,17130579
2022-09-27,6.9000,6.9200,6.6707,6.7200,16851481
2022-09-26,7.0000,7.1050,6.8400,6.9000,15974687
2022-09-23,7.3100,7.3100,7.0050,7.0800,19017998
2022-09-22,7.7000,7.7200,7.5000,7.5300,8383089
2022-09-21,7.7400,7.7500,7.5200,7.5300,8797063
2022-09-20,7.9200,7.9600,7.7800,7.8300,5958201
2022-09-19,7.8000,7.9700,7.7604,7.9600,5646331
2022-09-16,7.9600,7.9900,7.8526,7.9200,7394631
2022-09-15,7.9400,8.1250,7.9350,8.0200,14564294
2022-09-14,7.9800,8.0370,7.9000,7.9400,8832121
2022-09-13,8.1000,8.2050,7.9600,7.9700,6344261
2022-09-12,8.2100,8.3500,8.2000,8.2500,5672548
2022-09-09,7.9700,8.0280,7.9500,8.0100,5260384
2022-09-08,7.6200,7.8400,7.5950,7.8400,5403146
2022-09-07,7.6100,7.7300,7.6000,7.7100,5454144
2022-09-06,7.9600,7.9750,7.7900,7.8300,7078863
2022-09-02,7.8200,7.9850,7.7043,7.7200,9484250
2022-09-01,7.6300,7.6500,7.5100,7.6100,5005492
2022-08-31,7.8000,7.8600,7.7750,7.7900,4853551
2022-08-30,7.9000,7.9200,7.7450,7.8000,4736253
2022-08-29,7.6300,7.7450,7.6250,7.7000,4210166
2022-08-26,7.9800,7.9950,7.7000,7.7000,5726940
2022-08-25,7.8500,7.9700,7.8350,7.9700,5195480
2022-08-24,7.7300,7.8700,7.7050,7.8100,5456143
2022-08-23,7.8800,7.9414,7.8550,7.8600,5462569
2022-08-22,7.8000,7.8300,7.7450,7.7900,6749005
2022-08-19,8.0600,8.0600,7.9120,7.9400,6519902
2022-08-18,8.2600,8.2600,8.1700,8.2100,4622579
2022-08-17,8.3000,8.3450,8.2400,8.2900,6581730
2022-08-16,8.3700,8.4500,8.3600,8.4400,5480503
2022-08-15,8.4800,8.5400,8.4050,8.5200,4771010
2022-08-12,8.4700,8.5700,8.4500,8.5700,5782408
2022-08-11,8.4300,8.4850,8.3850,8.4500,7587571
2022-08-10,8.3300,8.5200,8.3300,8.4700,7185071
2022-08-09,8.2000,8.2400,8.1200,8.1600,3788636
2022-08-08,8.1700,8.2200,8.1150,8.1300,3692034
2022-08-05,7.9500,8.1200,7.9350,8.0900,6814612
2022-08-04,7.9700,8.0200,7.9450,8.0000,4623470
2022-08-03,8.0000,8.1200,7.9800,8.0700,4784318
2022-08-02,8.0000,8.0150,7.8600,7.8600,5815705
2022-08-01,7.9400,8.0200,7.8700,8.0000,8475150
2022-07-29,7.6000,7.8000,7.5800,7.7900,8261930
2022-07-28,7.4400,7.5200,7.3150,7.4800,7205273
2022-07-27,7.7200,7.8900,7.6850,7.8900,6083433
2022-07-26,7.6600,7.7050,7.5850,7.6100,5533603
2022-07-25,7.7800,7.9000,7.7691,7.8700,4390820
2022-07-22,7.6900,7.7450,7.5900,7.6200,4184670
2022-07-21,7.5800,7.7300,7.5700,7.7300,5550002
2022-07-20,7.6100,7.6982,7.5700,7.6500,8651739
2022-07-19,7.6500,7.7500,7.6200,7.7300,7666771
2022-07-18,7.5200,7.5850,7.4100,7.4300,7373115
2022-07-15,7.1100,7.2800,7.0650,7.2500,9154525
2022-07-14,7.0200,7.0400,6.8800,6.9600,13819263
2022-07-13,7.2200,7.2650,7.1037,7.2300,6883292
2022-07-12,7.1000,7.3700,7.0900,7.2500,5682022
2022-07-11,7.3100,7.3450,7.2500,7.2700,7065384
2022-07-08,7.4400,7.4500,7.3450,7.4200,4634522
2022-07-07,7.3300,7.4100,7.3250,7.3600,5852240
2022-07-06,7.1500,7.1850,7.0600,7.1500,8723346
2022-07-05,7.2100,7.3100,7.1000,7.3100,13680756
2022-07-01,7.4700,7.6150,7.3800,7.6000,5082042
2022-06-30,7.4800,7.6300,7.4050,7.6000,5528750
2022-06-29,7.7900,7.8000,7.6600,7.7200,5117032
2022-06-28,7.9800,8.0650,7.8400,7.8500,5113410
2022-06-27,7.9300,7.9699,7.8349,7.9200,6074476
